TestCaseID,Scenario,Title,Priority,Type,AutomationStatus,SpecFile,AutomatedTestName,Reason,Notes
"TC_DDBD_QTHT_DN_02_02","TS_DDBD_QTHT_DN_02","Đăng xuất thành công","Cao","Functional","BLOCKED","tests/security/login-input-security.spec.ts","[TC_DDBD_QTHT_DN_02_02] Đăng xuất thành công","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_02_03","TS_DDBD_QTHT_DN_02","Đăng xuất và Đăng nhập lại","Cao","Functional","BLOCKED","tests/security/login-input-security.spec.ts","[TC_DDBD_QTHT_DN_02_03] Đăng xuất và Đăng nhập lại","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_02_04","TS_DDBD_QTHT_DN_02","Kiểm tra hiệu ứng Hover","Thấp","GUI","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_02_05","TS_DDBD_QTHT_DN_02","Hệ thống tự động đăng xuất người dùng sau một thời gian nhất định không tương tác với hệ thống","Cao","Functional","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.",""
"TC_DDBD_QTHT_TDTTMK_01_01","TS_DDBD_QTHT_TDTTMK_01","Người dùng cập nhật chỉnh sửa các thông tin cá nhân","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDTTMK_01_02","TS_DDBD_QTHT_TDTTMK_01","Xem thông tin tài khoản","Cao","GUI, Data","PARTIAL","","","Cần mailbox thử nghiệm hoặc API đọc email để tự động hóa end-to-end.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDTTMK_01_03","TS_DDBD_QTHT_TDTTMK_01","Người dùng cập nhật lại mật khẩu tài khoản (Hệ thống xác thực bằng mật khẩu cũ)","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTND_01_01","TS_DDBD_QTHT_QTND_01","Xem thông tin chi tiết tài khoản người dùng","Cao","GUI, Data","PARTIAL","","","Cần mailbox thử nghiệm hoặc API đọc email để tự động hóa end-to-end.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTND_01_02","TS_DDBD_QTHT_QTND_01","Sửa đổi thông tin người dùng","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTND_01_03","TS_DDBD_QTHT_QTND_01","Thực hiện lấy lại mật khẩu cho người dùng","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTND_01_04","TS_DDBD_QTHT_QTND_01","Tìm kiếm tài khoản người dùng","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_01","TS_DDBD_QTHT_QTPB_01","Thêm mới phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_02","TS_DDBD_QTHT_QTPB_01","Tìm kiếm phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_03","TS_DDBD_QTHT_QTPB_01","Cập nhật thông tin phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_04","TS_DDBD_QTHT_QTPB_01","Xóa phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_05","TS_DDBD_QTHT_QTPB_01","Thêm người dùng vào phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_QTPB_01_06","TS_DDBD_QTHT_QTPB_01","Xóa người dùng khỏi phòng ban","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_01","TS_DDBD_QLBD_QLLBD_01","Kiểm tra Thêm mới danh mục","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_01] Kiểm tra Thêm mới danh mục","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_02","TS_DDBD_QLBD_QLLBD_01","Kiểm tra nút làm mới","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_02] Kiểm tra nút làm mới","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_03","TS_DDBD_QLBD_QLLBD_01","Kiểm tra các trường bắt buộc (*)","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_03] Kiểm tra các trường bắt buộc (*)","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_04","TS_DDBD_QLBD_QLLBD_01","Kiểm tra rằng buộc Tránh trùng mã loại bản đồ","Trung bình","GUI","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_04] Kiểm tra rằng buộc Tránh trùng mã loại bản đồ","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_05","TS_DDBD_QLBD_QLLBD_01","Kiểm tra XSS","Cao","Security","SKIPPED_SAFETY","tests/security/stored-xss.spec.ts","[TC_DDBD_QLBD_QLLBD_01_05] Kiểm tra XSS","Security test cần RUN_SECURITY=true, quyền môi trường và locator đã được khảo sát; mặc định không chạy.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_06","TS_DDBD_QLBD_QLLBD_01","Kiểm tra hiển thị thông tin chi tiết","Thấp","GUI","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_06] Kiểm tra hiển thị thông tin chi tiết","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_07","TS_DDBD_QLBD_QLLBD_01","Kiểm tra Tìm kiếm danh mục","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_07] Kiểm tra Tìm kiếm danh mục","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_08","TS_DDBD_QLBD_QLLBD_01","Kiểm tra Sửa danh mục","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_08] Kiểm tra Sửa danh mục","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLLBD_01_09","TS_DDBD_QLBD_QLLBD_01","Kiểm tra Xóa danh mục","Cao","Functional","BLOCKED","tests/map-management/map-types.spec.ts","[TC_DDBD_QLBD_QLLBD_01_09] Kiểm tra Xóa danh mục","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDNK_01_01","TS_DDBD_QTHT_TDNK_01","Xem nhật ký hệ thống","Cao","GUI","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDNK_01_02","TS_DDBD_QTHT_TDNK_01","Xóa nhật ký hệ thống","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDNK_01_03","TS_DDBD_QTHT_TDNK_01","Kiểm tra Duyệt danh sách nhật ký theo ngày","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDNK_01_04","TS_DDBD_QTHT_TDNK_01","Kiểm tra Front-End trường input","Thấp","GUI","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_TDNK_01_05__EXPORT_EXCEL","TS_DDBD_QTHT_TDNK_01","Xuất nhật ký hệ thống ra Excel","","","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.","Original ID: TC_DDBD_QTHT_TDNK_01_05. Alias duy nhất: TC_DDBD_QTHT_TDNK_01_05__EXPORT_EXCEL."
"TC_DDBD_QTHT_TDNK_01_05__FILTER_ACTION","TS_DDBD_QTHT_TDNK_01","Duyệt danh sách nhật ký hệ thống theo từng loại thao tác (thêm, sửa, xóa ..)","","","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.","Original ID: TC_DDBD_QTHT_TDNK_01_05. Alias duy nhất: TC_DDBD_QTHT_TDNK_01_05__FILTER_ACTION."
"TC_DDBD_QTHT_PQ_01_01","TS_DDBD_QTHT_PQ_01","Kiểm tra Lựa chọn ứng dụng để phân quyền","","","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.",""
"TC_DDBD_QTHT_PQ_01_02","TS_DDBD_QTHT_PQ_01","Kiểm tra thêm quyền cho người dùng","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_PQ_01_03","TS_DDBD_QTHT_PQ_01","","","","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.",""
"TC_DDBD_QTHT_PQ_01_04","TS_DDBD_QTHT_PQ_01","Kiểm tra Xóa quyền của người dùng","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLVTLT_01_01","TS_DDBD_QLBD_QLVTLT_01","Thêm mới danh mục vị trí lưu trữ","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLVTLT_01_02","TS_DDBD_QLBD_QLVTLT_01","Tìm kiếm danh mục vị trí lưu trữ","","","BLOCKED","","","Thiếu hoặc chưa rõ Steps/Actions, Expected Result trong nguồn; không suy đoán nghiệp vụ.",""
"TC_DDBD_QLBD_QLVTLT_01_03","TS_DDBD_QLBD_QLVTLT_01","Sửa danh mục vị trí lưu trữ","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLVTLT_01_04","TS_DDBD_QLBD_QLVTLT_01","Xóa danh mục vị trí lưu trữ","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLBD_QLVTLT_01_05","TS_DDBD_QLBD_QLVTLT_01","Kiểm tra Xóa danh mục vị trí cha","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLV_01_01","TS_DDBD_QLHDDD_QLDMLV_01","Kiểm tra thêm mới lĩnh vực","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLV_01_02","TS_DDBD_QLHDDD_QLDMLV_01","Kiểm tra chức năng tìm kiếm lĩnh vực","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLV_01_03","TS_DDBD_QLHDDD_QLDMLV_01","Kiểm tra chức năng sửa lĩnh vực","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLV_01_04","TS_DDBD_QLHDDD_QLDMLV_01","Kiểm tra chức năng xóa danh mục lĩnh vực","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLVB_01_01","TS_DDBD_QLHDDD_QLDMLVB_01","Kiểm tra thêm mới danh mục loại văn bản","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLVB_01_02","TS_DDBD_QLHDDD_QLDMLVB_01","Kiểm tra chức năng tìm kiếm danh mục loại văn bản theo tên","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLVB_01_03","TS_DDBD_QLHDDD_QLDMLVB_01","Kiểm tra chức năng tìm kiếm danh mục loại văn bản theo chữ viết tắt","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLVB_01_04","TS_DDBD_QLHDDD_QLDMLVB_01","Kiểm tra chức năng sửa danh mục loại văn bản","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMLVB_01_05","TS_DDBD_QLHDDD_QLDMLVB_01","Kiểm tra chức năng xóa danh mục loại văn bản","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLTBCN_01_01","TS_DDBD_QLHDDD_QLTBCN_01","Kiểm tra thêm mới thiết bị","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLTBCN_01_02","TS_DDBD_QLHDDD_QLTBCN_01","Kiểm tra chức năng tìm kiếm thiết bị","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLTBCN_01_03","TS_DDBD_QLHDDD_QLTBCN_01","Kiểm tra chức năng sửa thông tin thiết bị","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLTBCN_01_04","TS_DDBD_QLHDDD_QLTBCN_01","Kiểm tra chức năng xóa thiết bị","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDA_01_01","TS_DDBD_QLHDDD_QLDA_01","Kiểm tra thêm mới dự án","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDA_01_02","TS_DDBD_QLHDDD_QLDA_01","Kiểm tra chức năng tìm kiếm dự án","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDA_01_03","TS_DDBD_QLHDDD_QLDA_01","Kiểm tra chức năng sửa dự án","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDA_01_04","TS_DDBD_QLHDDD_QLDA_01","Kiểm tra chức năng xóa dự án","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMCN_01_01","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra thêm mới danh mục chuyên ngành","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.",""
"TC_DDBD_QLHDDD_QLDMCN_01_02","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Tìm kiếm doanh mục chuyên ngành theo mã","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMCN_01_03","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Tìm kiếm doanh mục chuyên ngành theo một phần mã","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMCN_01_04","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Tìm kiếm doanh mục chuyên ngành theo tên","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMCN_01_05","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Tìm kiếm doanh mục chuyên ngành theo một phần tên","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QLHDDD_QLDMCN_01_06","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Sửa danh mục chuyên ngành","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.",""
"TC_DDBD_QLHDDD_QLDMCN_01_07","TS_DDBD_QLHDDD_QLDMCN_01","Kiểm tra Xóa danh mục chuyên ngành","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_CSDLVT_DVGN_01_01","TS_DDBD_CSDLVT_DVGN_01","Kiểm tra Thêm mới đơn vị giao nộp","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.",""
"TC_DDBD_CSDLVT_DVGN_01_02","TS_DDBD_CSDLVT_DVGN_01","Kiểm tra Tìm kiếm đơn vị giao nộp theo tên","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_CSDLVT_DVGN_01_03","TS_DDBD_CSDLVT_DVGN_01","Kiểm tra Tìm kiếm đơn vị giao nộp theo một phần tên","Trung bình","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_CSDLVT_DVGN_01_04","TS_DDBD_CSDLVT_DVGN_01","Kiểm tra Sửa đơn vị giao nộp","Cao","Functional","MANUAL","","","Chưa khảo sát module và chưa có Page Object/locator đã xác thực.",""
